"Site","Population","Plot","Plant.ID","TP","Sex","Week","Tube_Number","Flower","Field_Notes","Date_Mounted","Stigma_Length","Pollen_Number_1","Pollen_Number_2","Deformed_Pollen","Ovule_Number_1","Ovule_Number_2","Ovule_issue","Notes","Stigma_Herbivory","Ovule_Herbivory","Observer","Herm_Count","Fem_Count","true_HermCount","true_FemCount","micro_SR","density","herb","Herbivory","pollen_depo","female_func"
"Niwot","High Hermaphrodite","101","101","YH","H","A","101-1","1",NA,"9/5/2024",8,1,NA,0,31,NA,"","",0,0,"Ashley",5,3,4,3,0.571428571428571,2.54647908947033,NA,"No Florivory",1,1
"Niwot","High Hermaphrodite","101","101","YH","H","A","101-2","2",NA,"9/5/2024",7,0,NA,0,35,NA,"","",0,0,"Ashley",5,3,4,3,0.571428571428571,2.54647908947033,NA,"No Florivory",0,1
"Niwot","High Hermaphrodite","102","102","YD","H","A","102","1",NA,"9/6/2024",5,0,NA,0,0,NA,"","small black dots visible, 25 clear small ovules (half size)?",0,0,"Emma",1,0,0,0,NA,0.318309886183791,NA,"No Florivory",0,0
"Niwot","High Hermaphrodite","202","202","GS","F","B","336","1","herb","9/17/2024",1,0,NA,0,27,NA,"","",0,0,"Ashley",0,1,0,0,NA,0.318309886183791,1,"Florivory",0,1
"Niwot","High Hermaphrodite","202","202","GS","F","B","337","2","shrivled","9/17/2024",2,0,NA,0,6,NA,"","4 aborted",0,0,"Ashley",0,1,0,0,NA,0.318309886183791,0,"No Florivory",0,1
"Niwot","High Hermaphrodite","202","202","GS","F","B","338","3","","9/17/2024",6,0,NA,5,33,NA,"","",0,0,"Ashley",0,1,0,0,NA,0.318309886183791,0,"No Florivory",0,1
"Niwot","High Hermaphrodite","202","202","GS","F","C","361","1","herb","9/24/2024",2,0,NA,0,0,NA,"Faint","32 degenerated ovules, faint and organge, herbivory, half all stigmas gone",1,0,"",0,1,0,0,NA,0.318309886183791,1,"Florivory",0,0
"Niwot","High Hermaphrodite","203","203","GS","F","B","262","3","","9/14/2024",4,0,NA,0,27,NA,"","",0,0,"Ashley",0,1,0,0,NA,0.318309886183791,0,"No Florivory",0,1
"Niwot","High Hermaphrodite","203","203","GS","F","B","258","1","","9/14/2024",6,34,NA,8,25,NA,"","",0,0,"Ashley",0,1,0,0,NA,0.318309886183791,0,"No Florivory",1,1
"Niwot","High Hermaphrodite","203","203","GS","F","B","259","2","closed","9/14/2024",6,0,NA,0,21,NA,"","",0,0,"Ashley",0,1,0,0,NA,0.318309886183791,0,"No Florivory",0,1
"Niwot","High Hermaphrodite","203","203","GS","F","C","304","2","closed","9/18/2024",4,NA,NA,NA,33,NA,"","herbivory, no stigmas",1,0,"",0,1,0,0,NA,0.318309886183791,0,"No Florivory",NA,1
"Niwot","High Hermaphrodite","203","203","GS","F","C","303","1","closed","9/18/2024",4,0,NA,0,21,NA,"","ovary and stigmas blackened",0,0,"",0,1,0,0,NA,0.318309886183791,0,"No Florivory",0,1
"Niwot","High Hermaphrodite","203","203","GS","F","C","305","3","herb","9/18/2024",3,NA,NA,NA,30,NA,"","herbivory, no stigmas",1,0,"",0,1,0,0,NA,0.318309886183791,1,"Florivory",NA,1
"Niwot","High Hermaphrodite","204","204","YH","H","B","84","1","","9/17/2024",3,0,NA,0,20,NA,"","",0,0,"Emma",3,2,2,2,0.5,1.59154943091895,0,"No Florivory",0,1
"Niwot","High Hermaphrodite","204","204","YH","H","B","86","3","","9/17/2024",3,2,NA,0,14,NA,"Faint","herbivory 1 half stigma, ovules faint",0,0,"Emma",3,2,2,2,0.5,1.59154943091895,0,"No Florivory",1,1
"Niwot","High Hermaphrodite","204","204","YH","H","B","85","2","","9/17/2024",3,0,NA,0,0,NA,"","",0,0,"Emma",3,2,2,2,0.5,1.59154943091895,0,"No Florivory",0,0
"Niwot","High Hermaphrodite","204","204b","GH","F","B","88","1","","9/17/2024",6,12,NA,10,19,NA,"","herbivory 1 half stigma ",0,0,"Emma",3,3,3,2,0.6,1.90985931710274,0,"No Florivory",1,1
"Niwot","High Hermaphrodite","204","204b","GH","F","B","165","2","herb","9/17/2024",3,4,NA,8,26,NA,"","herbivory, half of all stigmas",1,0,"Emma",3,3,3,2,0.6,1.90985931710274,1,"Florivory",1,1
"Niwot","High Hermaphrodite","204","204b","GH","F","B","169","3","herb","9/17/2024",5,8,NA,6,25,NA,"","herbivory, helf of 2 stigmas",0,0,"Emma",3,3,3,2,0.6,1.90985931710274,1,"Florivory",1,1
"Niwot","High Hermaphrodite","206","206","GD","F","B","163","1","","9/17/2024",6,13,NA,2,27,NA,"","",0,0,"Emma",2,2,2,1,0.666666666666667,1.27323954473516,0,"No Florivory",1,1
"Niwot","High Hermaphrodite","206","206","GD","F","B","186","2","","9/17/2024",6,19,NA,6,26,NA,"","",0,0,"Emma",2,2,2,1,0.666666666666667,1.27323954473516,0,"No Florivory",1,1
"Niwot","High Hermaphrodite","206","206","GD","F","C","320","2","closed","9/24/2024",5,0,NA,0,16,NA,"Degraded","pistil degenerating, blackened",0,0,"",0,1,0,0,NA,0.318309886183791,0,"No Florivory",0,1
"Niwot","High Hermaphrodite","206","206","GD","F","C","311","1","herb","9/24/2024",3,0,NA,0,0,NA,"","herbivory, half of all stigmas gone, 8 degenerated ovules",1,0,"",0,1,0,0,NA,0.318309886183791,1,"Florivory",0,0
"Niwot","High Hermaphrodite","206","206","GD","F","C","321","3","closed","9/24/2024",4,0,NA,0,29,NA,"Degraded","pistil degenerating, blackened",0,0,"",0,1,0,0,NA,0.318309886183791,0,"No Florivory",0,1
"Niwot","High Hermaphrodite","206","206","GD","F","D","488","2","closed","9/24/2024",3,0,NA,0,0,NA,"","19 degenerated ovules, fungus on slide too",0,0,"",0,1,0,0,NA,0.318309886183791,0,"No Florivory",0,0
"Niwot","High Hermaphrodite","209","209","GD","F","B","168","1","closed","9/17/2024",4,4,NA,1,18,NA,"Degraded","degrading, concentrated in center of ovary",0,0,"Ashley",1,1,1,0,1,0.636619772367581,0,"No Florivory",1,1
"Niwot","High Hermaphrodite","209","209","GD","F","B","184","2","herb","9/17/2024",1,3,NA,1,35,NA,"","some herbivory on stigma",0,0,"Ashley",1,1,1,0,1,0.636619772367581,1,"Florivory",1,1
"Niwot","High Hermaphrodite","209","209","GD","F","B","176","3","closed","9/17/2024",3,3,NA,3,0,NA,"","25 diminutive ovules",1,0,"Emma",1,1,1,0,1,0.636619772367581,0,"No Florivory",1,0
"Niwot","High Hermaphrodite","210","210","YH","H","B","252","1","herb","9/11/2024",1,0,NA,0,0,NA,"","herbivory",1,1,"Ashley",1,0,0,0,NA,0.318309886183791,1,"Florivory",0,0
"Niwot","High Hermaphrodite","210","210","YH","H","B","253","2","herb","9/11/2024",0,NA,NA,NA,18,NA,"","herbivory, no stigma",1,0,"Ashley",1,0,0,0,NA,0.318309886183791,1,"Florivory",NA,1
"Niwot","High Hermaphrodite","213","213","YS","H","B","375","1","herb","9/17/2024",3,0,NA,0,0,NA,"","20 aborted ovules",0,0,"Ashley",5,1,4,1,0.8,1.90985931710274,1,"Florivory",0,0
"Niwot","High Hermaphrodite","213","213","YS","H","B","326","2","","9/17/2024",4,1,NA,0,0,NA,"","bottom ovary ripped, but certain there are no ovules, herbivory , half of all stigmas",1,0,"Emma",5,1,4,1,0.8,1.90985931710274,0,"No Florivory",1,0
"Niwot","High Hermaphrodite","214","214","YD","H","B","205","1","herb","9/17/2024",0,NA,NA,NA,0,NA,"Missing","herbivory, half ovary and all stigmas gone, certain no ovules",1,1,"Emma",3,0,2,0,1,0.954929658551372,1,"Florivory",NA,0
"Niwot","High Hermaphrodite","215","215","GC","F","B","312","2","closed","9/17/2024",4,0,NA,0,25,NA,"","degraded stigmas",1,0,"Emma",4,1,4,0,1,1.59154943091895,0,"No Florivory",0,1
"Niwot","High Hermaphrodite","215","215","GC","F","B","209","1","closed","9/17/2024",2,0,NA,0,3,NA,"","3 giant ovules, herbivory all of 1 stigma and 2 half stigmas gone",1,0,"Emma",4,1,4,0,1,1.59154943091895,0,"No Florivory",0,1
"Niwot","High Hermaphrodite","216","216","YD","H","B","278","1","closed","9/14/2024",4,0,NA,0,39,NA,"","",0,0,"Ashley",3,0,2,0,1,0.954929658551372,0,"No Florivory",0,1
"Niwot","High Hermaphrodite","216","216","YD","H","B","279","2","closed","9/14/2024",4,3,NA,0,36,NA,"","",0,0,"Ashley",3,0,2,0,1,0.954929658551372,0,"No Florivory",1,1
"Niwot","High Hermaphrodite","216","216","YD","H","B","282","3","herb","9/14/2024",4,0,NA,0,29,NA,"","",0,0,"Ashley",3,0,2,0,1,0.954929658551372,1,"Florivory",0,1
"Niwot","High Hermaphrodite","216","216","YD","H","C","307","1","herb","9/18/2024",2,1,NA,0,4,NA,"Faint","Ovules faint/hard to see, herbivory, half of all stigmas gone",1,0,"",3,0,2,0,1,0.954929658551372,1,"Florivory",1,1
"Niwot","High Hermaphrodite","216","216","YD","H","C","308","2","","9/18/2024",4,0,NA,1,22,NA,"","",0,0,"",3,0,2,0,1,0.954929658551372,0,"No Florivory",0,1
"Niwot","High Hermaphrodite","216","216","YD","H","C","309","3","","9/18/2024",6,8,NA,6,39,NA,"","",0,0,"",3,0,2,0,1,0.954929658551372,0,"No Florivory",1,1
"Niwot","High Hermaphrodite","216","216","YD","H","D","487","3","herb","9/24/2024",3,0,NA,0,30,NA,"Degraded","pistil degenerating/blackened, herbivory half of 2 stigmas gone",0,0,"",2,0,1,0,1,0.636619772367581,1,"Florivory",0,1
"Niwot","High Hermaphrodite","217","217","YC","H","B","352","1","herb","9/17/2024",1,0,NA,0,0,NA,"","",0,0,"Ashley",2,0,1,0,1,0.636619772367581,1,"Florivory",0,0
"Niwot","High Hermaphrodite","218x","218x","YH","H","B","257","1","herb","9/14/2024",3,4,NA,0,25,NA,"","",0,0,"Ashley",4,1,3,1,0.75,1.59154943091895,1,"Florivory",1,1
"Niwot","High Hermaphrodite","219","219","GD","F","B","327","1","","9/17/2024",5,0,NA,0,19,NA,"","",0,0,"Emma",1,4,1,3,0.25,1.59154943091895,0,"No Florivory",0,1
"Niwot","High Hermaphrodite","221","221","GD","F","B","299","3","decay","9/17/2024",3,0,NA,0,0,NA,"","",0,0,"Ashley",1,1,1,0,1,0.636619772367581,0,"No Florivory",0,0
"Niwot","High Hermaphrodite","221","221","GD","F","B","297","1","","9/14/2024",4,0,NA,1,36,NA,"","",0,0,"Ashley",1,1,1,0,1,0.636619772367581,0,"No Florivory",0,1
