ID,Color,Fruit,Seed_number,Seed_Mass,Seeds_plated,molded,Germinated,Total_Seeds_end,Comments
EK201,B,0,0,0,,,,,"Seeds plated November 13th, Seeds recorded for 3rd time 12/4"
EK201,R,0,0,0,,,,,
EK201,G,0,0,0,,,,,
EK201,O,0,0,0,,,,,
EK202,G,1,17,2.024,17,4,5,17,
EK202,O,0,0,0,,,,,
EK202,B,0,0,0,,,,,
EK203,G,1,11,1.774,11,0,11,11,
EK203,B,0,0,0,,,,,
EK203,O,0,0,0,,,,,
EK204,B,0,0,0,,,,,
EK204,R,0,0,0,,,,,
EK204,G,0,0,0,,,,,
EK204,O,0,0,0,,,,,
EK204B,G,1,17,1.651,17,10,2,17,
EK204B,O,1,2,0.222,2,1,0,2,
EK204B,B,0,0,0,,,,,
EK206,B,0,0,0,,,,,
EK206,G,0,0,0,,,,,
EK206,O,0,0,0,,,,,
EK208,O,1,3,0.124,3,0,0,3,
EK208,G,0,0,0,,,,,
EK208,B,0,0,0,,,,,
EK209,G,1,8,0.932,8,7,0,8,
EK209,B,0,0,0,,,,,
EK209,O,0,0,0,,,,,
EK210,R,1,6,0.556,6,3,0,6,
EK210,B,0,0,0,,,,,
EK210,G,0,0,0,,,,,
EK211,G,1,14,1.918,14,0,4,14,
EK211,B,0,0,0,,,,,
EK212,G,1,9,0.868,6,5,0,6,LOST 3
EK212,R,1,7,0.75,7,4,0,7,TWO FRUIT- 2 SEED AND 5 SEEDS
EK212,B,0,0,0,,,,,
EK212,O,0,0,0,,,,,
EK213,O,0,0,0,,,,,
EK213,G,0,0,0,,,,,
EK213,R,0,0,0,,,,,
EK213,B,0,0,0,,,,,
EK214,B,0,0,0,,,,,
EK214,R,0,0,0,,,,,
EK214,G,0,0,0,,,,,
EK215,G,1,18,2.187,17,2,12,17,
EK215,B,0,0,0,,,,,
EK216,R,1,8,0.81,8,4,0,6,
EK216,B,1,3,0.333,3,2,0,3,
EK216,O,0,0,0,,,,,
EK216,G,0,0,0,,,,,
EK217,G,1,5,0.636,5,0,0,5,
EK217,O,0,0,0,,,,,
EK217,R,0,0,0,,,,,
EK217,B,0,0,0,,,,,
EK218,G,0,0,0,,,,,
EK218,R,0,0,0,,,,,
EK218,B,0,0,0,,,,,
EK218X,O,0,0,0,,,,,
EK218X,G,0,0,0,,,,,
EK218X,R,0,0,0,,,,,
EK218X,B,0,0,0,,,,,
EK219,G,1,10,1.749,10,2,1,9,lost 1 because I dropped it
EK219,O,0,0,0,,,,,
EK219,B,0,0,0,,,,,
EK221,G,1,1,0.22,1,0,0,1,
EK221,O,0,0,0,,,,,
EK221,B,0,0,0,,,,,
EK222,G,1,21,3.575,21,0,17,19,dropped and lost 2 seeds
EK222,O,0,0,0,,,,,
EK222,B,0,0,0,,,,,
EK223,B,0,0,0,,,,,
EK223,G,0,0,0,,,,,
EK223,O,0,0,0,,,,,
EK226,R,0,0,0,,,,,
