Site,Plant_ID,Population,Latitude,Longitude,Elevation,Sex,Certainty,Smut,Notes
Niwot,E1,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E2,D1,40.0584,-105.62299,12289,H,H,Y,Anther smut!
Niwot,E3,D1,40.0584,-105.62299,12289,F,H,,
Niwot,E4,D1,40.0584,-105.62299,12289,F,H,,
Niwot,E5,D1,40.0584,-105.62299,12289,H,H,,"connected, dark"
Niwot,E6,D1,40.0584,-105.62299,12289,H,H,,"connected, light"
Niwot,E7,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E8,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E9,D1,40.0584,-105.62299,12289,F,H,,
Niwot,E10,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E11,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E12,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E13,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E14,D1,40.0584,-105.62299,12289,H,H,,"connected, Mn!"
Niwot,E15,D1,40.0584,-105.62299,12289,F,H,,"connected, rock"
Niwot,E16,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E17,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E18,D1,40.0584,-105.62299,12289,H,H,,connected
Niwot,E19,D1,40.0584,-105.62299,12289,F,H,,connected
Niwot,E20,D1,40.0584,-105.62299,12289,F,H,,
Niwot,E21,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E22,D1,40.0584,-105.62299,12289,F,H,,
Niwot,E23,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E24,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E25,D1,40.0584,-105.62299,12289,F,H,,connected
Niwot,E26,D1,40.0584,-105.62299,12289,H,H,,"connected, huge"
Niwot,E27,D1,40.0584,-105.62299,12289,F,H,,
Niwot,E28,D1,40.0584,-105.62299,12289,H,H,,connected
Niwot,E29,D1,40.0584,-105.62299,12289,F,H,,"connected, 3 flowers"
Niwot,E30,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E31,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E32,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E33,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E34,D1,40.0584,-105.62299,12289,F,H,,
Niwot,E35,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E36,D1,40.0584,-105.62299,12289,F,H,,
Niwot,E37,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E38,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E39,D1,40.0584,-105.62299,12289,H,H,Y,"connected, anther smut"
Niwot,E40,D1,40.0584,-105.62299,12289,F,H,,connected
Niwot,E41,D1,40.0584,-105.62299,12289,H,H,Y,Anther smut!
Niwot,E42,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E43,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E44,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E45,D1,40.0584,-105.62299,12289,H,H,,connected
Niwot,E46,D1,40.0584,-105.62299,12289,F,H,,connected
Niwot,E47,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E48,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E49,D1,40.0584,-105.62299,12289,F,H,,"small, hard to see flowers"
Niwot,E50,D1,40.0584,-105.62299,12289,H,H,,connected
Niwot,E51,D1,40.0584,-105.62299,12289,H,H,,connected
Niwot,E52,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E53,D1,40.0584,-105.62299,12289,F,H,,
Niwot,E54,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E55,D1,40.0584,-105.62299,12289,H,H,,"connected, pencil pointing at 1 F flower"
Niwot,E56,D1,40.0584,-105.62299,12289,F,H,,
Niwot,E57,D1,40.0584,-105.62299,12289,H,H,,connected
Niwot,E58,D1,40.0584,-105.62299,12289,F,H,,connected
Niwot,E59,D1,40.0584,-105.62299,12289,H,H,,"connected, below"
Niwot,E60,D1,40.0584,-105.62299,12289,F,H,,"connected, above"
Niwot,E61,D1,40.0584,-105.62299,12289,F,H,,
Niwot,E62,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E63,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E64,D1,40.0584,-105.62299,12289,F,H,,
Niwot,E65,D1,40.0584,-105.62299,12289,F,H,,
Niwot,E66,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E67,D1,40.0584,-105.62299,12289,H,H,,1 flower
Niwot,E68,D1,40.0584,-105.62299,12289,F,H,,
Niwot,E69,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E70,D1,40.0584,-105.62299,12289,H,H,,"connected, both below"
Niwot,E71,D1,40.0584,-105.62299,12289,F,H,,"connected, 1 above"
Niwot,E72,D1,40.0584,-105.62299,12289,H,H,,"connected, 2 above"
Niwot,E73,D1,40.0584,-105.62299,12289,F,H,,
Niwot,E74,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E75,D1,40.0584,-105.62299,12289,H,H,,connected
Niwot,E76,D1,40.0584,-105.62299,12289,F,H,,connected
Niwot,E77,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E78,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E79,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E80,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E81,D1,40.0584,-105.62299,12289,H,H,,connected
Niwot,E82,D1,40.0584,-105.62299,12289,F,H,,connected
Niwot,E83,D1,40.0584,-105.62299,12289,F,H,,2 flowers
Niwot,E84,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E85,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E86,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E87,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E88,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E89,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E90,D1,40.0584,-105.62299,12289,F,H,,
Niwot,E91,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E92,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E93,D1,40.0584,-105.62299,12289,H,H,,5 flowers
Niwot,E94,D1,40.0584,-105.62299,12289,F,H,,connected
Niwot,E95,D1,40.0584,-105.62299,12289,H,H,,connected
Niwot,E96,D1,40.0584,-105.62299,12289,F,H,,"connected, correct image number"
Niwot,E97,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E98,D1,40.0584,-105.62299,12289,H,H,,"connected, pencil pointing at 1 F flower"
Niwot,E99,D1,40.0584,-105.62299,12289,F,H,,connected 
Niwot,E100,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E101,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E102,D1,40.0584,-105.62299,12289,F,H,,connected
Niwot,E103,D1,40.0584,-105.62299,12289,H,H,,connected
Niwot,E104,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E105,D1,40.0584,-105.62299,12289,F,H,,
Niwot,E106,D1,40.0584,-105.62299,12289,H,H,,connected
Niwot,E107,D1,40.0584,-105.62299,12289,F,H,,connected
Niwot,E108,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E109,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E110,D1,40.0584,-105.62299,12289,F,H,,1 barely open flower
Niwot,E111,D1,40.0584,-105.62299,12289,H,H,,
Niwot,E112,D1,40.0584,-105.62299,12289,F,H,,
Niwot,E113,D1,40.0584,-105.62299,12289,H,H,,
