Plt,X,Y,Sex,Ros23,Frt23,A1-23,A2-23,PM23,Comm23,Notes
103.1,20,5, ,,0,33,30,0,,GC
103,20,20,H,,7,60,54,10,,mix w plts
105,35,0,H,,121,171,158,20,,
104,35,50, ,,18,155,133,25,db,
106,55,30,H,,0,68,50,25,db,plt left of tag
107,65,10, ,10,0,,,,,tag missing bb added
107.2,85,0,,,0,38,32,0,,BH grown in w/ 107.3
107.3,85,5,H,,0,41,32,5,,"GD, htp sep 107.2"
108,135,10,H,,0,64,27,25,,left of tag
109,145,40,H,,20,190,168,20,,mix w grass tps sep 111
110,150,5,F,,2,119,69,45,,Nincl pl u
109.3,150,25, ,11,0,,,,,GD
110.1,155,5,H,,0,34,27,0,,WD
111,155,40,F,,7,117,57,30,,Mix ph Focal
110.2,160,10, ,,0,36,28,20,db,RC
113,205,15,H,,0,75,56,70,,mix w grass 
114,235,35,F,,0,106,74,25,db,
115,290,25,F,,157,182,158,10,,focal
116,365,25,H,,0,54,43,5,,Mix phl
118,380,25,H,,4,93,45,10,,
119,585,40,H,,3,71,49,20,,
121,620,35,F,,0,78,47,15,db,
122,635,5,H,,0,58,54,15,,with phl
122.1,649,0, ,,0,31,27,0,,yh
124,665,50,F,,0,55,26,20,,Nincl big pl d mix ph pp
124.1,675,25, ,,0,37,31,15,,bh
125,725,10,H,,1,77,67,15,,
127,780,30, ,,3,103,67,20,,
128,790,40,F,,9,74,56,10,,
129.1,795,0, ,,2,40,39,5,,WH
129,795,25, ,,0,46,30,0,,
130,825,40,H,,0,48,39,0,,
130.1,835,40,H,,9,46,38,10,,rd
132,860,10,H,,,,,,,d22
133,910,0,H,,0,"17, 24","9, 15","0, 0",db,RD
133.1,920,25, ,,0,42,30,5,,GS
134.1,930,20, ,,0,27,25,25,db,BS
136,963,12,H,,15,74,59,5,,
137,972,0,H,,,,,,,Mix phl pp focal dead22
138,980,10,F,,0,105,68,50,,
139.1,990,35, ,12,,,,,,GS
140,1000,0,F,13,,,,,,
139,1000,15,F,,0,"28,50","12,115","80,45",db,Mix phl 2pc
141.1,1030,25, ,10,,,,,,BH
141.2,1034,21,F,,3,41,38,0,,WC
141.3,1040,12,F,,0,56,28,15,,"Mix phl,YD"
141,1045,25,H,,9,71,46,10,,
142,1070,10,H,,0,43,37,5,,
142.1,1070,20,H,,0,55,34,15,,bs
144,1070,30,H,,5,75,61,5,,
142.2,1075,17, ,,0,29,21,0,,gh
144.1,1075,25, ,8,,,,,,"yd, mix grass"
143,1080,15,H,,0,59,46,5,,!sm plt dw
144.2,1085,40,H,6,,49,35,5,,wh
143.1,1150,6,F,,25,48,38,5,,rc
145,1170,35,H,,6,70,46,10,,
146.1,1230,0, ,,0,28,27,0,,"yh, mix w grass "
146,1235,0,H,,0,47,39,40,db,
148.3,1265,13,,7,,,,,,rc
148.4,1265,15, ,14,,,,,,bc
148.5,1275,17, ,5,,,,,,ws
148,1285,5,H,,11,100,95,10,,focal
151,1335,20, ,,2,64,58,20,,Mix phl
152.1,1370,30, ,,,,,,,"gs, dead23"
152,1370,40,H,,0,72,59,25,,Mix pp
152.2,1385,10,,5,,,,,,bh
154,1425,15,H,,0,89,58,10,,Mix pp
156,1540,40,F,,13,86,16,5,,Mix pp min focal
157,1560,40,F,,,,,,,dead23
157.1,1615,15,H,,2,46,35,5,,"bd, mix w plt"
159,1650,0,H,,2,46,33,5,,nincl plt l
158,1655,40,H,,2,112,70,35,,
158.2,1660,30, ,,0,39,24,10,,rd
160.1,1685,50,H,,0,55,36,30,,gc
161,1710,20,H,,1,70,58,50,,focal
163,1720,50,F,,6,69,60,15,,Mix phl
162,1750,5,F,,0,65,53,20,,
164.1,1805,30,,3,,,,,,gd
164,1815,30,H,,0,127,94,20,,"Mix min focal, nincl pc up "
164.6,1820,40,,5,,,,,,bd
164.4,1870,35,,3,,,,,,"ys, mix phl, "
165.2,2045,40, ,15,,,,,,"wh, mix w grass"
165.1,2045,50,F,,0,45,43,5,,ws
165,2050,5,H,,0,66,40,10,,
166,2060,50,F,,0,47,35,15,,
167,2070,50,F,,0,47,38,10,,Mix phl 
169,2075,10,F,,6,105,60,40,db,"Mix pp, focal"
169.1,2080,5,F,,0,32,28,5,,"wh, mix min"
168,2080,45,F,,2,75,65,5,,Mix phl
169.2,2090,20, ,,0,21,21,20,db,"mix min, os"
201.3,0.15,0.1,,8,0,,,,,oc
201.2,0.3,0.05, ,,0,28,22,0,,bh
201,0.4,0.45,H,,2,76,74,10,,
204,1.55,0.5,F,,32,108,76,10,,
205,1.65,0.4,F,,0,59,42,35,db,
206,1.75,0.5,F,,,,,,,dead23
207,1.85,0.3,F,,4,54,50,0,,
209.1,2.15,0.1,F,21,0,34,13,0,ros 23?,ys
208.1,2.25,0.45,F,,0,45,39,15,,bd
212,3.75,0.2,H,,3,7,70,10,,Mix phl
213,4.35,0.25, ,12,0,,,,,2pc
214,4.5,0.45,H,,19,123,88,15,,Mix phl
215.1,4.55,0.3,F,,0,48,34,20,,RC
215,4.75,0.1,H,,6,146,130,15,,focal
217,5.65,0.25,H,,54,109,100,5,,
219,5.9,0.4,H,,83,168,143,20,,Mix pp focal
220,6.4,0.15,H,,10,102,70,10,,Mix min
221,6.55,0.5,H,,9,89,55,5,,Mix min
18.1,6.7,0.2,,17,0,,,,,bd
222.1,7.05,0.4, ,,0,35,26,0,,"gs, wtps sep"
222,7.15,0.4,H,,51,170,102,20,,wtps sep
223,7.25,0.4,H,,3,105,51,30,,Mix min
224,8,0.45,H,,0,150,117,10,,
225,8.6,0.4,H,,1,65,64,10,,
226,8.7,0.25,H,,19,64,50,0,,
227.2,8.9,0.2,H,,7,59,32,15,,yh
227,9,0.25,H,,0,43,32,10,,
227.4,9.1,0.15,H,,3,49,33,5,,GS
228,9.8,0.5,H,15,0,,,,db,"mix min, 2pc"
229,9.95,0.4,H,,10,104,87,5,,
230,10,0.35,H,,0,48,30,15,,Mix min pp 
232,10.5,0.05,H,,0,61,42,25,db,Mix phl min focal
235,10.8,0.15,H,,4,57,51,5,,
235.1,10.85,0.2, ,22,0,27,22,5,ros 23?,"BD, phl!"
233,10.95,0.3,H,,0,75,28,35,db,
234,11,0.2,H,,3,79,72,15,,wtps sep
237,11.05,0.25,H,,0,76,38,30,,wtps sep
236,11.05,0.5,H,,6,94,68,10,,Mix min
241,11.25,0,H,,,,,,,"d22, d23"
246.1,11.8,0.5, ,11,0,,,,,BS
247,12.1,0.3,F,,13,86,42,5,,
248,12.55,0.15,H,,3,86,71,35,,
249,13.25,0.25,H,,9,79,58,35,,Diff mix ph
251.1,13.45,0.45,H,,0,56,50,15,,bh
18.2,13.9,0.46,,,0,38,20,20,,rs
253,13.95,0.05,F,,4,85,61,20,,Mix min
254.1,14.7,0.15,F,,0,45,38,5,,"Mix pp, gd"
254.2,14.85,0.1, ,7,0,,,,,"gs, mix aren"
254.3,14.9,0.05,H,,0,48,36,0,,YD
254,15.25,0.15,H,,6,114,69,5,,wtps sep
255,15.3,0.1,F,,52,157,108,5,,wtps sep
256.1,16.25,0.2,,7,0,,,,,BH
256,16.7,0.25,,,,,,,,focal; dead19
258,17.65,0.35,H,,0,44,38,10,,Mix pp focal
259,17.9,0.3,H,,0,66,30,30,,focal
260,18,0.15,H,,0,97,93,25,,
260.1,18.3,0.05,H,,0,38,27,0,,yc pt undr rock
261.1,18.4,0.05, ,,0,33,24,10,,rc mix phl
261,18.45,0.4,H,,19,93,66,35,,Mix phl min
262,18.45,0.45,F,,3,76,60,25,,
264.1,18.6,0.05,H,,2,61,58,10,,bs
264,18.65,0.2,F,,5,79,57,5,,Mix min pp
263,19.1,0.3,H,,36,130,104,30,db,focal
267.1,19.6,0.05, ,,,,,,,"bs d22, d23"
268,19.95,0.45,H,,0,83,51,85,db,
267.2,20,0, ,,0,30,26,5,,bh
268.1,20,0.4,,,,,,,,rc d22
18.3,20.03,0.28,,,0,20,19,25,db,wc
270,20.05,0.5,F,4,0,,,,,Mix phl
272,20.35,0.35,H,,3,65,56,45,,od whip sep from 273
273,20.4,0.35,F,,10,78,65,10,,whip sep from 272
274,0.15,0,,,0,47,31,15,db,
275.2,1.75,0.4,,,0,46,31,30,db,"bc, Mix min"
276.2,2.05,0.1,,1,0,,,,db,rs
276.1,2.05,0.2,,,1,53,40,30,,bh
276,2.05,0.4,H,,1,80,63,25,,
18.4,2.25,0.2,,,1,47,22,20,,ws
276.4,2.3,0.5,,,0,38,26,10,,gd
278,2.8,0.4,,,7,55,44,10,,
282,3.05,0.4,,,0,39,20,10,,"Mix min, mix ph"
279,3.35,0.05,,,0,71,41,25,,
280,3.4,0.15,H,,8,83,76,20,,
280.1,3.5,0.3,,,3,49,36,30,,"bd, Mix pp"
281,4,0.25,F,,7,122,93,30,db,tag buried
283,4.1,0.05,H,,31,138,80,5,,htp sep 283+285
285,4.15,0.1,F,,29,116,85,20,,
286,6,0.5,H,,159,208,177,5,,focal
287.1,6.45,0.2,,,0,26,24,0,,bd
287,6.95,0.1,H,,39,140,110,15,,
287.3,7.1,0.1,,,0,53,41,5,,bc
288,7.1,0.3,H,,56,108,99,5,,Mix min
288.1,7.1,0.4,,,0,,,,,ws
289,7.1,0.5,H,,14,104,86,30,,
290,7.25,0.5,H,,42,203,186,20,,focal
291.1,7.8,0.4,,,0,28,15,0,,gs
291,7.9,0.15,,,5,74,62,35,,
294,7.95,0.1,,,0,60,33,40,,
292,8.15,0.1,,,0,96,85,45,db,nincl sm plt u
18.5,8.2,0.1,,5,0,,,,,yh
295,8.3,0.4,H,,4,69,64,10,,
296.1,8.4,0.2,,7,0,,,,,bh
297,8.4,0.5,,,0,39,39,10,,
296,8.45,0.25,,,0,66,30,80,db,
297.1,8.7,0.45,,,0,51,38,45,,"rc, mix grass"
298.1,9.3,0.3,,,0,40,35,0,,gc
298,9.35,0.3,F,,10,79,58,5,,focal
298.3,9.4,0.3,,2,0,,,,,"rc, under 298 tag"
298.2,9.45,0.2,,,0,36,21,0,,bs
300,9.75,0.4,,,,,,,,focal dead18
172,10.2,0.3,,,0,44,20,0,,In grass
174.1,10.5,0.05,,5,0,,,,,rs d22
174,10.6,0.2,H,,2,143,105,25,,
175,10.7,0.1,F,,138,187,178,20,db,
176.2,11.05,0.4,,3,0,,,,,gs
180,11.95,0.05,H,,1,39,37,15,,Mix cx
180.1,11.95,0.1,,,0,42,37,5,,gc
179.2,12.05,0.4,,,20,57,45,5,,rh
179,12.1,0.35,H,,,,,,,"whtp sep from  179.2, dead23"
178.1,12.3,0.1,F,,0,58,44,0,,"Mix pp, rs"
181.3,13.05,0.35,,,0,30,30,0,,gd
181,13.1,0.1,H,,0,130,79,10,,
181.4,13.2,0.35,,6,0,,,,,"Mix pp, gs"
181.6,13.35,0.5,,,0,27,25,45,,bh
182,13.6,0,F,,39,193,145,35,db,Mix pp
184,14.55,0.4,,,0,53,43,15,,
188,15.55,0.3,H,,6,50,49,5,,
188.2,15.65,0.35,,,5,52,32,10,,bc
189,16.1,0.5,,,4,85,78,45,,grass in middle 
190,16.55,0.5,F,,17,62,49,15,,Mix min pp
191,17.45,0.35,H,,2,102,88,20,,Mix min
192,17.5,0.15,H,,78,160,144,30,db,Mix min pp
193,17.8,0.2,,,0,84,75,50,,
194,17.9,0.5,,,1,43,35,5,,
195,18.15,0.3,F,,12,62,48,10,,Mix min
196,18.45,0.4,,,6,82,48,15,,plt above tag
197,18.75,0.5,,,1,85,70,35,,
198,18.95,0.05,H,,35,138,135,55,db,
199,19.3,0.35,,,27,101,91,5,,Mix pp
200,19.45,0.3,,,0,"48,11","35,5","40,45",db,2pc
