ID,Plant.ID,Sex,Stigma_Length,Ovule_Number_1,Pollen,Notes,Stigma_Herbivory,Seeds,Duplicates
1F1A,1F1,F,7,38,0,,0,0,0
1F1B,1F1,F,7,33,0,,0,0,0
1F1C,1F1,F,8,32,0,,0,0,0
1F1D,1F1,F,6,30,1,,0,0,0
1F1E,1F1,F,8,25,0,,0,0,0
1F1F,1F1,F,7,32,1,,0,0,0
1F1G,1F1,F,7,36,0,,0,0,0
1F1H,1F1,F,6,32,1,,0,0,0
1F1I,1F1,F,6,33,1,,0,0,0
1F1J,1F1,F,6,28,0,,0,0,0
1F1K,1F1,F,6,28,0,,0,0,0
1F1L,1F1,F,6,21,1,,0,0,0
1F2A,1F2,F,6,38,0,,0,0,0
1F2B,1F2,F,7,34,0,small ovules,0,0,0
1F2C,1F2,F,7,39,1,,0,0,0
1F2D,1F2,F,7,34,0,,0,0,0
1F2E,1F2,F,7,27,0,,0,0,0
1F2F,1F2,F,7,31,1,,0,0,0
1F2G,1F2,F,6,26,0,,0,0,0
1F2H,1F2,F,6,32,1,,0,0,0
1F2I,1F2,F,7,31,1,degraded ovary,0,0,0
1F2J,1F2,F,7,30,1,,0,0,0
1F2K,1F2,F,9,35,1,,0,0,0
1F2L,1F2,F,7,29,1,,0,0,0
1F3A,1F3,F,5,37,0,,0,0,0
1F3B,1F3,F,5,30,0,degraded ovary,0,0,0
1F3C,1F3,F,6,36,1,degraded ovary,0,0,0
1F3D,1F3,F,5,38,1,degraded ovary,0,0,0
1F3E,1F3,F,6,32,1,degraded ovary,0,0,0
1F3F,1F3,F,6,38,1,,0,0,0
1F3G,1F3,F,5,34,1,,0,0,0
1F3H,1F3,F,5,38,1,,0,0,0
1F3I,1F3,F,6,36,1,,0,0,0
1F3J,1F3,F,5,37,1,,0,0,0
1F4A,1F4,F,5,29,0,,0,0,0
1F4B,1F4,F,7,37,0,,0,0,0
1F4C,1F4,F,5,29,0,,0,0,0
1F4D,1F4,F,7,26,1,degraded ovary,0,0,0
1F4E,1F4,F,5,0,1,22 aborted ovules,0,0,0
1F4F,1F4,F,6,29,0,degraded ovary,0,0,0
1F4G,1F4,F,7,31,0,,0,0,0
1F4H,1F4,F,5,25,0,,0,0,0
1F4I,1F4,F,6,28,0,,0,0,0
1F4J,1F4,F,6,20,0,degraded ovary,0,0,0
1F4K,1F4,F,6,27,1,,0,0,0
1F4L,1F4,F,5,30,0,,0,0,0
1F5A,1F5,F,6,37,0,,0,0,0
1F5B,1F5,F,5,35,1,,0,0,0
1F5C,1F5,F,7,29,1,degraded ovary,0,0,0
1F5D,1F5,F,5,34,0,smaller ovules,0,0,0
1F5E,1F5,F,6,30,0,degraded ovary,0,0,0
1F5F,1F5,F,7,29,0,degraded ovary,0,0,0
1F5G,1F5,F,5,28,1,,0,0,0
1F5H,1F5,F,7,27,0,degraded ovary,0,0,0
1F5I,1F5,F,6,14,0,5 degraded ovules,0,0,0
1F5J,1F5,F,6,22,0,,0,0,0
1H1A,1H1,H,3,40,0,,0,0,0
1H1B,1H1,H,2,0,1,16 aborted ovules,0,0,0
1H1C,1H1,H,2,0,0,,0,0,0
1H1D,1H1,H,2,0,0,"faint,small ovules, in the process of aborting? 8 ovules",0,0,0
1H1E,1H1,H,3,0,1,,0,0,0
1H1F,1H1,H,5,23,0,degraded ovary,0,0,0
1H1G,1H1,H,2,0,0,16 aborted ovules,0,0,0
1H1H,1H1,H,1,0,0,,0,0,0
1H1I,1H1,H,3,0,1,,0,0,0
1H1J,1H1,H,2,0,0,,0,0,0
1H2A,1H2,H,3,36,0,,0,0,0
1H2B,1H2,H,3,26,1,,0,0,0
1H2C,1H2,H,4,16,1,,0,0,0
1H2D,1H2,H,5,38,0,,0,0,0
1H2E,1H2,H,5,36,0,,0,0,0
1H2F,1H2,H,5,41,1,,0,0,0
1H2G,1H2,H,5,26,0,,0,0,0
1H2H,1H2,H,6,30,0,degraded ovary,0,0,0
1H2I,1H2,H,5,26,1,,0,0,0
1H2J,1H2,H,5,29,0,,0,0,0
1H3A,1H3,H,4,0,1,"small ovules, in the process of aborting? 32 ovules",0,0,0
1H3B,1H3,H,3,34,0,,0,0,0
1H3C,1H3,H,3,33,1,,0,0,0
1H3D,1H3,H,4,37,0,,0,0,0
1H3E,1H3,H,3,31,0,,0,0,0
1H3F,1H3,H,3,32,0,,0,0,0
1H3H,1H3,H,4,39,1,,0,0,0
1H3I,1H3,H,3,35,1,,0,0,0
1H3J,1H3,H,4,38,1,,0,0,0
1H3K,1H3,H,4,35,1,,0,0,0
1H3L,1H3,H,4,34,0,,0,0,0
1H4A,1H4,H,3,47,1,,0,0,0
1H4B,1H4,H,3,26,0,faint ovules,0,0,0
1H4C,1H4,H,3,42,0,,0,0,0
1H4D,1H4,H,3,0,0,,0,0,0
1H4E,1H4,H,3,41,0,,0,0,0
1H4F,1H4,H,3,39,1,,0,0,0
1H4G,1H5,H,6,37,1,,0,0,0
1H4H,1H4,H,4,31,1,,0,0,0
1H4I,1H4,H,4,34,1,,0,0,0
1H4J,1H4,H,5,42,1,,0,0,0
1H4K,1H4,H,3,41,1,,0,0,0
1H4L,1H4,H,3,38,0,small ovules,0,0,0
1H5A,1H5,H,3,30,0,,0,0,0
1H5B,1H5,H,2,29,0,,0,0,0
1H5C,1H5,H,3,37,0,,0,0,0
1H5D,1H5,H,3,0,0,"ovary ripped, 23 aborted ovules",0,0,0
1H5E,1H5,H,2,0,0,"ovary ripped, 5 aborted ovules",0,0,0
1H5F,1H5,H,4,27,1,,0,0,0
