Plot,Plant_ID,Location,Date,Sex,A1 (cm),A2 (cm),% There,Area (cm^2)
SN1,1F1,"Down, middle far",26-Jun,F,19.5,20.5,0.85,1066.93275
SN1,1F2,"Left, 3/4 down",26-Jun,F,17.5,17,0.75,700.6125
SN1,1F3,"Left, 3/4 up",26-Jun,F,19.5,13.5,0.9,743.9445
SN1,1F4,"Up, 1/2 right",26-Jun,F,22,16,0.73,806.8544
SN1,1F5,"Right, 1/4 down",26-Jun,F,22,17,30,35230.8
SN1,1H1,"Down, middle",26-Jun,H,23,19.5,0.9,1267.461
SN1,1H2,"Left, down corner",26-Jun,H,20,14.5,0.83,755.798
SN1,1H3,"Left, 1/2",26-Jun,H,23.5,20,0.8,1180.64
SN1,1H4,"Up, 1/2 left",26-Jun,H,24.5,22.5,0.8,1384.74
SN1,1H5,"Right, 1/2 pole",26-Jun,H,20,18.5,0.8,929.44
SN2,2F1,"Closest short end, middle",24-Jun,F,19,18,0.9,966.492
SN2,2F2,"Left, 1/2 close",24-Jun,F,20.5,14,0.88,793.0384
SN2,2F3,"Left, far end, far",24-Jun,F,18.5,14.5,0.93,783.34365
SN2,2F4,"Far, left",1-Jul,F,16,14.5,0.88,641.0624
SN2,2F5,"Right, 1/3, far",1-Jul,F,18.5,16.5,0.95,910.56075
SN2,2H1,"Closest short, L, right plant",24-Jun,H,19.5,16,0.85,832.728
SN2,2H2,"Left, down, far",24-Jun,H,20,20.5,0.85,1094.29
SN2,2H3,"Left, far end, far",24-Jun,H,19,16.5,0.93,915.4827
SN2,2H4,"Far, left",1-Jul,H,12,14.5,0.93,508.1148
SN2,2H5,"Right, far close-ish",1-Jul,H,20.5,13.5,0.8,695.196
SN3,3F1,"Downridge, halfway",24-Jun,F,15,18,0.95,805.41
SN3,3F2,"Down, almost at end , stick between rocks",24-Jun,F,18.5,19.5,0.9,1019.4795
SN3,3F3,"Left end, 1/2 up ",24-Jun,F,18,14,0.95,751.716
SN3,3F4,"Down, right, close to end, no F on right end",24-Jun,F,15,13,0.9,551.07
SN3,3F5,"Down, 1/2 right",24-Jun,F,27.5,23,0.9,1787.445
SN3,3H1,"Downslope, 3/4 L",24-Jun,H,16,17,0.93,794.2944
SN3,3H2,"Down, almost end L",24-Jun,H,22,17,0.9,1056.924
SN3,3H3,"left end, 3/4 up, farther away ",24-Jun,H,27,21.5,0.9,1640.493
SN3,3H4,"right, upper",24-Jun,H,18,13,0.9,661.284
SN3,3H5,"Down, 3/4 right",24-Jun,H,21,13,0.9,771.498
SN4,4F1,"Left, 1/2 up ",26-Jun,F,35.5,18.5,0.65,1340.42675
SN4,4F2,"Down, left corner",2-Jul,F,28.5,25,0.8,1789.8
SN4,4F3,"Down, right 3/4",26-Jun,F,31.5,20.5,0.7,1419.3585
SN4,4F4,"Down, right corner",26-Jun,F,27.5,26.5,0.9,2059.4475
SN4,4F5,"Upper, 3/4 left",26-Jun,F,25.5,24,0.9,1729.512
SN4,4H1,"Left, close to corner ",26-Jun,H,22,22,0.7,1063.832
SN4,4H2,"Down, left corner",26-Jun,H,23,23.5,0.88,1493.5096
SN4,4H3,"Down, right corner",26-Jun,H,38.5,24.5,0.5,1480.9025
SN4,4H4,"Down, 3/4 left",2-Jul,H,25,24,0.8,1507.2
SN4,4H5,"Right corner, down",1-Jul,H,36,20,0.83,1876.464
