Plt,X,Y,Sex,Ros23,Frt23,A1-23,A2-23,PM-23,Comm23,Notes
210,105,500,F,13,0,,,,,"wc, pendants at start/end & plt223"
209,110,470,F,,1,73,56,15,,ys
207,130,380,H,,8,122,82,20,,bh
204,155,360,F,,2,91,67,45,,bh adj #205
205,160,370,F,,0,78,24,30,,wc
221,245,285,H,,1,81,66,15,,rd
220,250,287,,,2,71,49,10,,bc
222,247,300,F,,2,96,67,15,,"yh, diff"
223,250,310,,,,,,,,Dead22 pendant D
230,250,395,F,,19,128,102,15,,"rh, mix min, focal"
1.19N,260,415,,18,0,,,,,os
239,270,475,F,,7,80,65,20,,oh
240,280,500,F,,12,104,92,20,,"yh, focal"
238,283,470,H,,1,77,50,20,,"bh, focal"
232,300,295,F,,20,138,110,40,,bd
20.1,300,335,F,,0,"37,38","14,14","25,0",incl pc up in tra,rh 2pc
234,300,435,F,,8,"112,57","52,38","10,30",,"rc, 2 pcs"
250,10,10,F,,11,85,40,15,db,"wh 2pcs, !mix min"
252,15,90,F,,7,91,89,50,,"bc mixmin. Focal, mixmin"
b.21.1,15,110,F,,18,80,70,10,,OH
18.1,21,41,F,,0,32,26,15,,bd
253,30,55,,,0,"40,35","20,25","30,25",,"gd diff, 2pcs"
b.21.3,30,125,F,,21,89,56,30,,RD
256.1,38,97,F,,0,39,27,10,,yc
b.21.2,40,115,F,,4,67,48,15,A 22 wrong?,BH
256.2,41,92,F,,0,51,31,15,,ws
b.21.4,48,90,F,,1,47,38,0,Size 22=257,GH
257,50,80,,,,,,,Size 22=b.d1.4,"gs, diff in grass, min, dead23"
2.19N,50,85,,5,0,,,,,od
b.21.5,70,110,,6,0,,,,,WH mix min
263.1,80,30,H,,0,41,34,10,,"gc, !min"
b.21.6,88,16,,,0,34,18,0,,BC
266,90,65,F,,0,81,47,35,,rc
265,95,100,F,,0,61,39,15,,rc
3.19N,103,66,,,0,56,40,15,,yh
b.21.7,150,135,,,0,67,45,30,,YH
b.21.8,155,135,F,,3,91,72,45,,BC
b.21.9,170,143,F,,101,136,99,10,,WH
b.21.10,210,140,F,,63,134,99,30,,RH
