Plt,X,Y,Sex,Ros23,Frt23,A1-23,A2-23,PM23,Comm23,Notes
301,0.65,0.2,H,,,,,,,Mix min dead22
302,0.8,0.25,H,,78,196,144,20,,Focal
303,0.9,0.3,H,,82,160,120,10,,
303.1,1,0.2, ,,0,33,28,0,,"wd, 1.01 M on X axis"
304.1,1.1,0.4,H,,0,55,46,0,,RS
306,1.2,0,H,,43,165,147,10,,Mix min
305,1.2,0.2,H,,1,73,58,0,,Mix min
304,1.2,0.4,H,,31,105,74,15,,Mix min; Focal
308,1.35,0.25,F,,15,94,57,15,!min,Mix min
307,1.4,0.4,H,,39,102,91,15,!min,Mix min
310,1.6,0,H,,0,76,57,20,db,N incl plt up
311,1.65,0.2,H,,0,43,35,30,,
312,1.65,0.25,F,,1,59,48,0,,"nincl plt u, mix min"
309,1.65,0.3,F,,9,115,88,10,,
311.1,1.7,0.2, ,17,0,,,,,YH
310.3,1.75,0.1,F,,9,42,33,0,,BD
18.1,1.75,0.2,,7,0,,,,,"rh, 1.9 M on X axis"
313,1.9,0.4,H,,4,82,74,5,,
315.1,2,0.3, ,13,0,,,,,BC
315.2,2,0.3,H,,1,65,32,15,,GC
315,2.05,0.2,H,,1,88,33,15,check A121,
314,2.05,0.45,F,,81,107,82,0,,
314.1,2.2,0.4,H,,3,59,33,0,,RS
316.6,2.3,0.3,H,,0,44,36,0,,"RH, d 316.7, wtp sep"
316.7,2.3,0.3,H,,0,28,9,0,,"YD, u 316.6, wtp sep"
18.2,2.35,0.05,,,0,29,22,0,,yc
317.1,2.4,0.45, ,,0,39,27,15,,YC
316,2.5,0.1,H,,15,95,66,10,,Focal
319,3.4,0.5, ,,,,,,,diff dead23
18.3,4.1,0.45,,,16,35,24,0,,gb
321,4.3,0.15,H,,15,72,54,5,,
321.1,4.35,0.3,F,,24,68,48,5,,GS
321.2,4.4,0.2, ,,0,30,18,0,,RH
18.4,4.5,0.23,,6,0,,,,,bh
18.5,4.54,0.26,,7,0,,,,,yc
322.3,4.65,0.1,,9,0,,,,,WC
323,4.65,0.35,H,,0,79,62,5,,
322.4,4.85,0.1,H,,22,73,44,0,,RS
325.3,4.85,0.3, ,6,0,,,,db !pp,YC
326,5.5,0,H,,7,90,87,15,,Mix min
327,5.6,0.15,H,,0,64,43,0,,
329,5.85,0.2,H,,0,55,28,10,,
331,6.5,0.35, ,,0,48,42,0,check A1 & A2 22,
331.1,6.6,0.15,F,,0,53,34,15,,GH
333,6.85,0.5,H,,9,88,63,15,check A1 & A2 22,Focal
334,6.95,0.3,H,,51,117,106,20,switch A1 & A2 22,
333.1,6.95,0.5,H,,0,34,21,0,,OD
335,7.15,0.05,F,,90,123,108,5,,n incl plt right
18.6,7.26,0.01,F,11,0,,,,,wh
18.7,7.28,0.04,,10,0,,,,,bh
336,7.4,0.1,F,,36,96,71,5,,"GS, mix grass"
336.1,7.4,0.35, ,,0,34,23,5,YC to YH,YH
338.1,7.55,0.45, ,4,0,,,,,btwn 337/338 wc
M3,7.6,0.35,,3,0,,,,,rc
338,7.6,0.45,,,,,,,,Focal dead18
338.7,7.7,0.1,H,,1,41,35,20,db,"GD, min!"
338.4,7.7,0.15,H,17,0,,,,,"diff, min! yc"
18.8,8.04,0.18,,,0,33,23,0,,bb
339.1,8.1,0.15,H,,0,45,21,0,,RC
340,8.15,0.5,F,,0,77,47,15,db,
342,8.7,0.35,F,,124,164,118,25,,Focal
343,9.1,0.45,F,,46,103,93,10,,
344,9.7,0.05,F,,9,93,54,30,db,
345.1,10.4,0.4,,5,0,,,,,"ros u plt, YC"
345,10.4,0.5, ,,0,42,25,45,,
346,11.1,0.45,F,,0,65,43,5,,YC
348,11.2,0.15,H,,168,137,130,20,,RC - Focal
350.1,11.2,0.35,F,,4,48,36,5,,YS
350,11.2,0.4,H,19,0,,,,,Mix min
349,11.25,0.25,H,17,0,,,,,mix min 2pc
351,11.45,0.3, ,12,0,,,,,incl pc L Focal in grass
352,11.75,0,F,,2,110,70,45,A2 22 wrong?,
353.1,11.9,0.37, ,21,0,24,23,45,"db, BS to BH",BH Mix pp and min
356,12.2,0,H,,0,53,25,30,,GS
355,12.2,0.1,H,,17,96,64,15,,
357.1,12.3,0.4,H,,0,40,36,0,GB to GH,GH
357,12.4,0.45,H,,0,"45, 13","15, 5","10, 0",db,2 pcs
358,12.45,0.45,F,,2,53,40,5,,
359.1,12.55,0.2,H,18,0,,,,,RC
362,12.95,0.2,H,,0,73,48,15,db,
361,12.95,0.4,H,,0,44,23,10,,
365.1,13.35,0.25,F,,0,45,23,5,,"YH, wtp sep 365"
365,13.35,0.3,F,,34,106,88,25,,wtp sep 365.1
366,13.4,0.15,F,,130,145,95,5,,Focal
367,13.55,0.25,H,,20,105,90,35,,
368.2,13.7,0.1,H,,0,68,25,40,,GD
368.3,13.7,0.15, ,3,0,,,,"WD to WH, db",WH
369,14.2,0,H,,50,117,64,5,,
371,14.8,0.4,H,,0,56,32,35,,wrong plt 21
373,14.9,0.25,F,,12,75,73,5,BD to BH,"No tag,BH"
375,15,0,H,,48,120,78,25,,"tp sep no tag, bc"
373.1,15,0.2,F,,4,55,43,20,,WD
374,15.05,0.05,H,,24,83,45,20,,tp sep
376,15.1,0.45, ,,,,,,,"r of tag, dead23"
377.1,15.5,0.2, ,11,0,,,,RB to RH,"RH, 2 pcs"
377,15.85,0.25,H,,0,62,53,10,,
380.1,15.95,0.2, ,,0,34,32,5,,BS
M7,15.95,0.2, ,,0,31,22,10,,"U 380.1, WC"
,13.4,0.2,,,0,30,15,0,added 23,"WH, wtp sep 365/365.1"
2,1.3,0.35,H,,0,77,70,15,db,mix min
4,1.75,0.15,F,,,,,,,2pc dead22
6.1,1.85,0.05,F,,22,107,58,20,db,mix min rc
6,1.9,0.05,F,,0,46,33,10,db,
9.1,2.45,0.25,H,,0,41,33,25,db,BC
9,2.5,0.25,H,,5,69,61,0,,
10,2.55,0,H,,2,23,22,0,,BC pp in mid nincl pl L
14.1,3,0,H,,0,51,37,0,,yd
16,3.2,0.05,H,,7,115,100,30,,mix min & pp incl pc D
17,3.6,0.15, ,,0,69,37,20,db,focal
18,3.75,0.2,H,,45,148,133,15,,
